month,gene_disease,num_papers
2014-06-01,cd538g<->breast cancer,15
2014-07-01,cd538g<->breast cancer,18
2014-08-01,cd538g<->breast cancer,19
2014-09-01,cd538g<->breast cancer,14
2014-10-01,cd538g<->breast cancer,11
2014-11-01,cd538g<->breast cancer,16
2014-12-01,cd538g<->breast cancer,12
2015-01-01,cd538g<->breast cancer,19
2015-02-01,cd538g<->breast cancer,12
2015-03-01,cd538g<->breast cancer,37
2015-04-01,cd538g<->breast cancer,35
2015-05-01,cd538g<->breast cancer,36
2015-06-01,cd538g<->breast cancer,47
2015-07-01,cd538g<->breast cancer,24
2015-08-01,cd538g<->breast cancer,33
2015-09-01,cd538g<->breast cancer,26
2015-10-01,cd538g<->breast cancer,50
2015-11-01,cd538g<->breast cancer,23
2015-12-01,cd538g<->breast cancer,20
2016-01-01,cd538g<->breast cancer,24
2016-02-01,cd538g<->breast cancer,49
2016-03-01,cd538g<->breast cancer,39
2016-04-01,cd538g<->breast cancer,48
2016-05-01,cd538g<->breast cancer,24
2016-06-01,cd538g<->breast cancer,44
2016-07-01,cd538g<->breast cancer,20
2016-08-01,cd538g<->breast cancer,47
2016-09-01,cd538g<->breast cancer,25
2016-10-01,cd538g<->breast cancer,27
2016-11-01,cd538g<->breast cancer,46
2016-12-01,cd538g<->breast cancer,28
2017-01-01,cd538g<->breast cancer,41
2017-02-01,cd538g<->breast cancer,33
2017-03-01,cd538g<->breast cancer,27
2017-04-01,cd538g<->breast cancer,42
2017-05-01,cd538g<->breast cancer,41
2017-06-01,cd538g<->breast cancer,33
2017-07-01,cd538g<->breast cancer,30
2017-08-01,cd538g<->breast cancer,35
2017-09-01,cd538g<->breast cancer,48
2017-10-01,cd538g<->breast cancer,40
2017-11-01,cd538g<->breast cancer,46
2017-12-01,cd538g<->breast cancer,25
2018-01-01,cd538g<->breast cancer,44
2018-02-01,cd538g<->breast cancer,43
2018-03-01,cd538g<->breast cancer,21
2018-04-01,cd538g<->breast cancer,38
2018-05-01,cd538g<->breast cancer,36
2018-06-01,cd538g<->breast cancer,44
2018-07-01,cd538g<->breast cancer,45
2018-08-01,cd538g<->breast cancer,33
2018-09-01,cd538g<->breast cancer,29
2018-10-01,cd538g<->breast cancer,30
2018-11-01,cd538g<->breast cancer,43
2018-12-01,cd538g<->breast cancer,33
2019-01-01,cd538g<->breast cancer,44
2019-02-01,cd538g<->breast cancer,48
2019-03-01,cd538g<->breast cancer,114
2019-04-01,cd538g<->breast cancer,160
2019-05-01,cd538g<->breast cancer,66
2019-06-01,cd538g<->breast cancer,179
2019-07-01,cd538g<->breast cancer,166
2019-08-01,cd538g<->breast cancer,112
2019-09-01,cd538g<->breast cancer,69
2019-10-01,cd538g<->breast cancer,79
2019-11-01,cd538g<->breast cancer,113
2019-12-01,cd538g<->breast cancer,171
2020-01-01,cd538g<->breast cancer,178
